
[Name]
Line 1

[Data]
X [ m ], Y [ m ], Z [ m ], C8h10.Mass Fraction, Density [ kg m^-3 ], Temperature [ K ], User Defined Memory 0, User Defined Memory 1, User Defined Memory 10, User Defined Memory 11, User Defined Memory 2, User Defined Memory 3, User Defined Memory 4, User Defined Memory 5, User Defined Memory 6, User Defined Memory 7, User Defined Memory 8, User Defined Memory 9, Velocity [ m s^-1 ]
8.92791431e-03, 0.00000000e+00, 0.00000000e+00, 6.92787692e-02, 6.87075138e-01, 5.23498535e+02, 2.74353836e-14, 4.14774171e-09, 3.03950709e-09, 1.68847662e+06, 0.00000000e+00, 0.00000000e+00, 4.93709325e-18, -4.93709325e-18, 2.03328127e-05, -2.03328127e-05, 3.17400062e-09, 1.34493305e-10, 1.88110657e+02
9.02309362e-03, 0.00000000e+00, 0.00000000e+00, 6.95586726e-02, 6.77614629e-01, 5.30871460e+02, 3.88082646e-14, 5.78392134e-09, 4.17464552e-09, 2.35557350e+06, 0.00000000e+00, 0.00000000e+00, 9.45471907e-18, -9.45471907e-18, 2.84106645e-05, -2.84106645e-05, 4.36527259e-09, 1.90627472e-10, 1.89774521e+02
9.11860354e-03, 0.00000000e+00, 0.00000000e+00, 6.98739290e-02, 6.68177843e-01, 5.38441406e+02, 5.42627670e-14, 7.94653143e-09, 5.64743852e-09, 3.24784975e+06, 0.00000000e+00, 0.00000000e+00, 1.76243237e-17, -1.76243237e-17, 3.90605892e-05, -3.90605892e-05, 5.91416294e-09, 2.66724920e-10, 1.91314331e+02
9.21444688e-03, 0.00000000e+00, 0.00000000e+00, 7.02167079e-02, 6.58786714e-01, 5.46208130e+02, 7.48711125e-14, 1.07414824e-08, 7.51446905e-09, 4.41854000e+06, 0.00000000e+00, 0.00000000e+00, 3.18858406e-17, -3.18858406e-17, 5.27772027e-05, -5.27772027e-05, 7.88233923e-09, 3.67869929e-10, 1.92762787e+02
9.31062363e-03, 0.00000000e+00, 0.00000000e+00, 7.05986694e-02, 6.49480939e-01, 5.54148499e+02, 1.01811050e-13, 1.42718477e-08, 9.82620563e-09, 5.92382350e+06, 0.00000000e+00, 0.00000000e+00, 5.58750908e-17, -5.58750908e-17, 7.00135279e-05, -7.00135279e-05, 1.03256550e-08, 4.99449038e-10, 1.94110306e+02
9.40713473e-03, 0.00000000e+00, 0.00000000e+00, 7.10268840e-02, 6.40284836e-01, 5.62248413e+02, 1.36322784e-13, 1.86303168e-08, 1.26219941e-08, 7.81998450e+06, 0.00000000e+00, 0.00000000e+00, 9.47234364e-17, -9.47234364e-17, 9.11525422e-05, -9.11525422e-05, 1.32889681e-08, 6.66972977e-10, 1.95352844e+02
9.50398203e-03, 0.00000000e+00, 0.00000000e+00, 7.15014413e-02, 6.31195545e-01, 5.70511597e+02, 1.79650091e-13, 2.38913085e-08, 1.59249218e-08, 1.01596420e+07, 0.00000000e+00, 0.00000000e+00, 1.55264924e-16, -1.55264924e-16, 1.16471296e-04, -1.16471296e-04, 1.68006995e-08, 8.75778450e-10, 1.96492081e+02
9.60116647e-03, 0.00000000e+00, 0.00000000e+00, 7.20125362e-02, 6.22193575e-01, 5.78948303e+02, 2.32975694e-13, 3.01045731e-08, 1.97383407e-08, 1.29881070e+07, 0.00000000e+00, 0.00000000e+00, 2.46089117e-16, -2.46089117e-16, 1.46136561e-04, -1.46136561e-04, 2.08692370e-08, 1.13089660e-09, 1.97538986e+02
9.69868898e-03, 0.00000000e+00, 0.00000000e+00, 7.25535005e-02, 6.13312840e-01, 5.87533325e+02, 2.97360796e-13, 3.72905617e-08, 2.40465994e-08, 1.63418560e+07, 0.00000000e+00, 0.00000000e+00, 3.77443175e-16, -3.77443175e-16, 1.80184856e-04, -1.80184856e-04, 2.54833719e-08, 1.43677092e-09, 1.98517761e+02
9.79655143e-03, 0.00000000e+00, 0.00000000e+00, 7.31416643e-02, 6.04587913e-01, 5.96247681e+02, 3.73686108e-13, 4.54375026e-08, 2.88144619e-08, 2.02454180e+07, 0.00000000e+00, 0.00000000e+00, 5.60823850e-16, -5.60823850e-16, 2.18440415e-04, -2.18440415e-04, 3.06108809e-08, 1.79641846e-09, 1.99421356e+02
