
[Name]
Line 1

[Data]
X [ m ], Y [ m ], Z [ m ], C8h10.Mass Fraction, Density [ kg m^-3 ], Scalar 0, Scalar 1, Scalar 2, Temperature [ K ], User Defined Memory 0, User Defined Memory 1, User Defined Memory 10, User Defined Memory 11, User Defined Memory 12, User Defined Memory 13, User Defined Memory 14, User Defined Memory 2, User Defined Memory 3, User Defined Memory 4, User Defined Memory 5, User Defined Memory 6, User Defined Memory 7, User Defined Memory 8, User Defined Memory 9, Velocity [ m s^-1 ]
6.39284216e-03, 0.00000000e+00, 0.00000000e+00, 8.97049010e-02, 9.70846176e-01, 2.86412755e-12, 2.48973506e-19, 4.10027004e-12, 3.73430817e+02, 0.00000000e+00, 0.00000000e+00, 1.81329350e-23, 6.53050425e-17, 2.10615456e-01, 2.10615456e-01, 0.00000000e+00, 1.10740467e-23, 1.42538070e-09, 3.93722939e+00, 6.71289196e-14, 2.76563986e-16, 2.18487419e-31, 2.77999163e-07, 8.85896603e-22, 7.54453812e+01
6.47919765e-03, 0.00000000e+00, 0.00000000e+00, 8.73598978e-02, 9.56702173e-01, 3.05701211e-12, 2.71330776e-19, 4.48900379e-12, 3.79112000e+02, 0.00000000e+00, 0.00000000e+00, 2.12485522e-23, 7.10049125e-17, 2.17352986e-01, 2.17352986e-01, 0.00000000e+00, 1.25662142e-23, 1.65183534e-09, 3.93162060e+00, 7.00261043e-14, 2.90886837e-16, 4.61595849e-31, 2.92396351e-07, 1.00525850e-21, 8.10576935e+01
6.56585349e-03, 0.00000000e+00, 0.00000000e+00, 8.50255936e-02, 9.42776084e-01, 3.26988393e-12, 2.93028680e-19, 4.93308129e-12, 3.84721130e+02, 0.00000000e+00, 0.00000000e+00, 2.50344850e-23, 7.64833495e-17, 2.24139348e-01, 2.24139348e-01, 0.00000000e+00, 1.43459183e-23, 1.89462868e-09, 3.90918517e+00, 7.32620751e-14, 3.06607425e-16, 9.42735467e-31, 3.08198480e-07, 1.14762253e-21, 8.70709763e+01
6.65281108e-03, 0.00000000e+00, 0.00000000e+00, 8.27831402e-02, 9.29306805e-01, 3.52288923e-12, 3.16336304e-19, 5.47838294e-12, 3.90170227e+02, 0.00000000e+00, 0.00000000e+00, 3.00846243e-23, 8.23346399e-17, 2.30964139e-01, 2.30964139e-01, 0.00000000e+00, 1.66837913e-23, 2.16775242e-09, 3.87286854e+00, 7.74985544e-14, 3.25599703e-16, 1.86416985e-30, 3.27289285e-07, 1.33463764e-21, 9.32604294e+01
6.74007088e-03, 0.00000000e+00, 0.00000000e+00, 8.07211846e-02, 9.16546285e-01, 3.85324021e-12, 3.44024805e-19, 6.20510284e-12, 3.95403015e+02, 0.00000000e+00, 0.00000000e+00, 3.75832426e-23, 8.92875363e-17, 2.37881035e-01, 2.37881035e-01, 0.00000000e+00, 2.01234693e-23, 2.49836951e-09, 3.82144618e+00, 8.37965832e-14, 3.51221365e-16, 3.58640580e-30, 3.53043902e-07, 1.60979000e-21, 9.93942719e+01
6.82763522e-03, 0.00000000e+00, 0.00000000e+00, 7.88899213e-02, 9.04587746e-01, 4.32647494e-12, 3.80113997e-19, 7.25345608e-12, 4.00389496e+02, 0.00000000e+00, 0.00000000e+00, 4.99841328e-23, 9.83801769e-17, 2.44940087e-01, 2.44940087e-01, 0.00000000e+00, 2.57769657e-23, 2.93656011e-09, 3.75159407e+00, 9.38084923e-14, 3.89175826e-16, 6.78039736e-30, 3.91195300e-07, 2.06203061e-21, 1.05352341e+02
6.91550365e-03, 0.00000000e+00, 0.00000000e+00, 7.72827119e-02, 8.93346190e-01, 5.05418190e-12, 4.30961513e-19, 8.86471799e-12, 4.05150452e+02, 0.00000000e+00, 0.00000000e+00, 7.26314459e-23, 1.11236721e-16, 2.52194822e-01, 2.52194822e-01, 0.00000000e+00, 3.60228883e-23, 3.57189589e-09, 3.66087341e+00, 1.10146728e-13, 4.48928733e-16, 1.28006362e-29, 4.51258273e-07, 2.88162361e-21, 1.11095299e+02
7.00367847e-03, 0.00000000e+00, 0.00000000e+00, 7.58795589e-02, 8.82743597e-01, 6.22043259e-12, 5.06845253e-19, 1.14436776e-11, 4.09722870e+02, 0.00000000e+00, 0.00000000e+00, 1.17740923e-22, 1.30478040e-16, 2.59727120e-01, 2.59727120e-01, 0.00000000e+00, 5.62066424e-23, 4.55802418e-09, 3.55137086e+00, 1.37033763e-13, 5.45883459e-16, 2.45156317e-29, 5.48716116e-07, 4.49614911e-21, 1.16598282e+02
7.09215971e-03, 0.00000000e+00, 0.00000000e+00, 7.46484995e-02, 8.72699142e-01, 8.11948685e-12, 6.24255062e-19, 1.56493533e-11, 4.14155518e+02, 0.00000000e+00, 0.00000000e+00, 2.14235790e-22, 1.60299437e-16, 2.67636806e-01, 2.67636806e-01, 0.00000000e+00, 9.87869307e-23, 6.15038331e-09, 3.43175364e+00, 1.81099588e-13, 7.04330713e-16, 4.82883389e-29, 7.07985578e-07, 7.90219776e-21, 1.21861366e+02
7.18094921e-03, 0.00000000e+00, 0.00000000e+00, 7.35620260e-02, 8.63120914e-01, 1.12051280e-11, 8.09085571e-19, 2.25156335e-11, 4.18494476e+02, 0.00000000e+00, 0.00000000e+00, 4.31673876e-22, 2.07268936e-16, 2.76010394e-01, 2.76010394e-01, 0.00000000e+00, 1.93284061e-22, 8.75553052e-09, 3.31518984e+00, 2.52428287e-13, 9.61220718e-16, 9.83215584e-29, 9.66208631e-07, 1.54611883e-20, 1.26899673e+02
