
[Name]
Line 1

[Data]
X [ m ], Y [ m ], Z [ m ], C8h10.Mass Fraction, Density [ kg m^-3 ], Temperature [ K ], User Defined Memory 0, User Defined Memory 1, User Defined Memory 10, User Defined Memory 11, User Defined Memory 2, User Defined Memory 3, User Defined Memory 4, User Defined Memory 5, User Defined Memory 6, User Defined Memory 7, User Defined Memory 8, User Defined Memory 9, Velocity [ m s^-1 ]
6.82763522e-03, 0.00000000e+00, 0.00000000e+00, 7.87698776e-02, 9.07803237e-01, 3.98903839e+02, 0.00000000e+00, 5.40159280e-14, 5.18682760e-14, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, null, null, 5.18682760e-14, 0.00000000e+00, 1.04599060e+02
6.91550365e-03, 0.00000000e+00, 0.00000000e+00, 7.71410093e-02, 8.96476448e-01, 4.03639557e+02, 0.00000000e+00, 9.29665822e-14, 8.80901865e-14, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, null, null, 8.80901865e-14, 0.00000000e+00, 1.10330536e+02
7.00367847e-03, 0.00000000e+00, 0.00000000e+00, 7.57035762e-02, 8.85824978e-01, 4.08207336e+02, 0.00000000e+00, 1.92784712e-13, 1.80461806e-13, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, null, null, 1.80461806e-13, 0.00000000e+00, 1.15846954e+02
7.09215971e-03, 0.00000000e+00, 0.00000000e+00, 7.44314641e-02, 8.75735283e-01, 4.12643433e+02, 0.00000000e+00, 4.07700973e-13, 3.77351769e-13, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, null, null, 3.77351769e-13, 0.00000000e+00, 1.21155075e+02
7.18094921e-03, 0.00000000e+00, 0.00000000e+00, 7.33103827e-02, 8.66109967e-01, 4.16974060e+02, 9.24499859e-19, 8.30289667e-13, 7.56648433e-13, 7.51989136e+01, 0.00000000e+00, 0.00000000e+00, 7.18611239e-26, -7.18611239e-26, null, null, 7.60161628e-13, 3.51330462e-15, 1.26231148e+02
7.27004791e-03, 0.00000000e+00, 0.00000000e+00, 7.23134130e-02, 8.56816530e-01, 4.21250031e+02, 5.15268423e-18, 1.61874669e-12, 1.44640875e-12, 4.15462372e+02, 0.00000000e+00, 0.00000000e+00, 6.89319922e-25, -6.89319922e-25, null, null, 1.46632229e-12, 1.99135464e-14, 1.31052902e+02
7.35945627e-03, 0.00000000e+00, 0.00000000e+00, 7.14213252e-02, 8.47755313e-01, 4.25512238e+02, 1.42925097e-17, 3.02393072e-12, 2.65433834e-12, 1.14168225e+03, 0.00000000e+00, 0.00000000e+00, 3.26617898e-24, -3.26617898e-24, 1.18812977e-08, -1.18812977e-08, 2.71055726e-12, 5.62188845e-14, 1.35671661e+02
7.44917616e-03, 0.00000000e+00, 0.00000000e+00, 7.06331730e-02, 8.38878870e-01, 4.29782104e+02, 3.00301536e-17, 5.42892207e-12, 4.69551438e-12, 2.37469995e+03, 0.00000000e+00, 0.00000000e+00, 1.17594241e-23, -1.17594241e-23, 2.17469207e-08, -2.17469207e-08, 4.81586732e-12, 1.20353272e-13, 1.40084427e+02
7.53920851e-03, 0.00000000e+00, 0.00000000e+00, 6.99477419e-02, 8.30151558e-01, 4.34082520e+02, 5.60908990e-17, 9.39995130e-12, 8.02348552e-12, 4.39036816e+03, 0.00000000e+00, 0.00000000e+00, 3.67057705e-23, -3.67057705e-23, 3.83700254e-08, -3.83700254e-08, 8.25250111e-12, 2.29016052e-13, 1.44295578e+02
7.62955379e-03, 0.00000000e+00, 0.00000000e+00, 6.93597049e-02, 8.21547449e-01, 4.38432709e+02, 9.79160823e-17, 1.57412815e-11, 1.32704438e-11, 7.58572998e+03, 0.00000000e+00, 0.00000000e+00, 1.04069819e-22, -1.04069819e-22, 6.54505072e-08, -6.54505072e-08, 1.36776267e-11, 4.07182859e-13, 1.48309952e+02
7.72021385e-03, 0.00000000e+00, 0.00000000e+00, 6.88641071e-02, 8.13018620e-01, 4.42859222e+02, 1.63337109e-16, 2.55597921e-11, 2.12883773e-11, 1.25237979e+04, 0.00000000e+00, 0.00000000e+00, 2.74041166e-22, -2.74041166e-22, 1.08200851e-07, -1.08200851e-07, 2.19798901e-11, 6.91514283e-13, 1.52093979e+02
7.81118963e-03, 0.00000000e+00, 0.00000000e+00, 6.84664547e-02, 8.04506302e-01, 4.47381226e+02, 2.63319409e-16, 4.03919329e-11, 3.32384155e-11, 1.99797383e+04, 0.00000000e+00, 0.00000000e+00, 6.79731730e-22, -6.79731730e-22, 1.73975494e-07, -1.73975494e-07, 3.43726575e-11, 1.13424808e-12, 1.55640839e+02
7.90248159e-03, 0.00000000e+00, 0.00000000e+00, 6.81342334e-02, 7.95897722e-01, 4.52054047e+02, 4.13171369e-16, 6.24144555e-11, 5.07354610e-11, 3.10153301e+04, 0.00000000e+00, 0.00000000e+00, 1.60581081e-21, -1.60581081e-21, 2.73472722e-07, -2.73472722e-07, 5.25459017e-11, 1.81043808e-12, 1.59034027e+02
7.99409207e-03, 0.00000000e+00, 0.00000000e+00, 6.78545013e-02, 7.87174761e-01, 4.56914093e+02, 6.34288976e-16, 9.47395773e-11, 7.60615737e-11, 4.70935547e+04, 0.00000000e+00, 0.00000000e+00, 3.64802321e-21, -3.64802321e-21, 4.22097088e-07, -4.22097088e-07, 7.88876603e-11, 2.82608182e-12, 1.62274139e+02
8.08602013e-03, 0.00000000e+00, 0.00000000e+00, 6.76466897e-02, 7.78371155e-01, 4.61956940e+02, 9.56796876e-16, 1.41855985e-10, 1.12469180e-10, 7.02452109e+04, 0.00000000e+00, 0.00000000e+00, 8.03560971e-21, -8.03560971e-21, 6.42106272e-07, -6.42106272e-07, 1.16800195e-10, 4.33100214e-12, 1.65304779e+02
8.17826949e-03, 0.00000000e+00, 0.00000000e+00, 6.74976707e-02, 7.69437313e-01, 4.67208832e+02, 1.42361759e-15, 2.10289092e-10, 1.64616140e-10, 1.03318367e+05, 0.00000000e+00, 0.00000000e+00, 1.72862960e-20, -1.72862960e-20, 9.66228299e-07, -9.66228299e-07, 1.71157380e-10, 6.54123544e-12, 1.68168991e+02
8.27083923e-03, 0.00000000e+00, 0.00000000e+00, 6.73938468e-02, 7.60360241e-01, 4.72692261e+02, 2.09649167e-15, 3.09549608e-10, 2.39201547e-10, 1.50356266e+05, 0.00000000e+00, 0.00000000e+00, 3.65437279e-20, -3.65437279e-20, 1.44253636e-06, -1.44253636e-06, 2.48971427e-10, 9.76986547e-12, 1.70903625e+02
8.36373121e-03, 0.00000000e+00, 0.00000000e+00, 6.73416033e-02, 7.51156867e-01, 4.78411163e+02, 3.06477844e-15, 4.53471427e-10, 3.45839413e-10, 2.17137219e+05, 0.00000000e+00, 0.00000000e+00, 7.63033790e-20, -7.63033790e-20, 2.14073384e-06, -2.14073384e-06, 3.60307367e-10, 1.44679806e-11, 1.73486221e+02
8.45694728e-03, 0.00000000e+00, 0.00000000e+00, 6.73572123e-02, 7.41884947e-01, 4.84337555e+02, 4.45816564e-15, 6.62046862e-10, 4.98249053e-10, 3.11957438e+05, 0.00000000e+00, 0.00000000e+00, 1.57969900e-19, -1.57969900e-19, 3.16098362e-06, -3.16098362e-06, 5.19534582e-10, 2.12855636e-11, 1.75893539e+02
8.55048653e-03, 0.00000000e+00, 0.00000000e+00, 6.74379021e-02, 7.32567847e-01, 4.90463348e+02, 6.46370757e-15, 9.63708446e-10, 7.15591086e-10, 4.46606938e+05, 0.00000000e+00, 0.00000000e+00, 3.24892763e-19, -3.24892763e-19, 4.64591085e-06, -4.64591085e-06, 7.46751605e-10, 3.11604111e-11, 1.78145706e+02
8.64435267e-03, 0.00000000e+00, 0.00000000e+00, 6.75569773e-02, 7.23151028e-01, 4.96828949e+02, 9.34744649e-15, 1.39792466e-09, 1.02383491e-09, 6.37540500e+05, 0.00000000e+00, 0.00000000e+00, 6.63711991e-19, -6.63711991e-19, 6.79480763e-06, -6.79480763e-06, 1.06926923e-09, 4.54343611e-11, 1.80295029e+02
8.73854477e-03, 0.00000000e+00, 0.00000000e+00, 6.77100867e-02, 7.13660061e-01, 5.03435455e+02, 1.34802024e-14, 2.01788164e-09, 1.45725332e-09, 9.07339375e+05, 0.00000000e+00, 0.00000000e+00, 1.34459987e-18, -1.34459987e-18, 9.87389922e-06, -9.87389922e-06, 1.52321455e-09, 6.59613406e-11, 1.82311310e+02
8.83306470e-03, 0.00000000e+00, 0.00000000e+00, 6.78995177e-02, 7.04127491e-01, 5.10270691e+02, 1.93661107e-14, 2.89285129e-09, 2.05927653e-09, 1.28609012e+06, 0.00000000e+00, 0.00000000e+00, 2.69300601e-18, -2.69300601e-18, 1.42282352e-05, -1.42282352e-05, 2.15452745e-09, 9.52508836e-11, 1.84198364e+02
8.92791431e-03, 0.00000000e+00, 0.00000000e+00, 6.81250840e-02, 6.94591045e-01, 5.17316772e+02, 2.76698051e-14, 4.10952117e-09, 2.88271362e-09, 1.81266588e+06, 0.00000000e+00, 0.00000000e+00, 5.31202113e-18, -5.31202113e-18, 2.02848496e-05, -2.02848496e-05, 3.01929415e-09, 1.36580580e-10, 1.85974670e+02
9.02309362e-03, 0.00000000e+00, 0.00000000e+00, 6.84025437e-02, 6.85126066e-01, 5.24536987e+02, 3.92388284e-14, 5.77184966e-09, 3.98893363e-09, 2.53558925e+06, 0.00000000e+00, 0.00000000e+00, 1.02776943e-17, -1.02776943e-17, 2.85438782e-05, -2.85438782e-05, 4.18298418e-09, 1.94050789e-10, 1.87602310e+02
9.11860354e-03, 0.00000000e+00, 0.00000000e+00, 6.87431619e-02, 6.75751507e-01, 5.31912781e+02, 5.51145840e-14, 7.99872435e-09, 5.44519807e-09, 3.51284600e+06, 0.00000000e+00, 0.00000000e+00, 1.94267370e-17, -1.94267370e-17, 3.95594288e-05, -3.95594288e-05, 5.71777825e-09, 2.72580458e-10, 1.89081970e+02
9.21444688e-03, 0.00000000e+00, 0.00000000e+00, 6.91336170e-02, 6.66443527e-01, 5.39458130e+02, 7.65304636e-14, 1.09197646e-08, 7.32069516e-09, 4.81079300e+06, 0.00000000e+00, 0.00000000e+00, 3.57480230e-17, -3.57480230e-17, 5.39297762e-05, -5.39297762e-05, 7.69865593e-09, 3.77959997e-10, 1.90448044e+02
9.31062363e-03, 0.00000000e+00, 0.00000000e+00, 6.95428848e-02, 6.57167494e-01, 5.47209290e+02, 1.04890760e-13, 1.46682320e-08, 9.68113412e-09, 6.50200150e+06, 0.00000000e+00, 0.00000000e+00, 6.38627505e-17, -6.38627505e-17, 7.22703189e-05, -7.22703189e-05, 1.01979234e-08, 5.16788945e-10, 1.91745178e+02
9.40713473e-03, 0.00000000e+00, 0.00000000e+00, 6.99779317e-02, 6.47948861e-01, 5.55148132e+02, 1.41724794e-13, 1.93718108e-08, 1.25839534e-08, 8.66244800e+06, 0.00000000e+00, 0.00000000e+00, 1.10558870e-16, -1.10558870e-16, 9.51214315e-05, -9.51214315e-05, 1.32798501e-08, 6.95895452e-10, 1.92950760e+02
9.50398203e-03, 0.00000000e+00, 0.00000000e+00, 7.04498366e-02, 6.38810813e-01, 5.63252686e+02, 1.88631147e-13, 2.51441232e-08, 1.60726010e-08, 1.13673690e+07, 0.00000000e+00, 0.00000000e+00, 1.85281999e-16, -1.85281999e-16, 1.22924510e-04, -1.22924510e-04, 1.69947540e-08, 9.22151078e-10, 1.94066010e+02
9.60116647e-03, 0.00000000e+00, 0.00000000e+00, 7.09551573e-02, 6.29767001e-01, 5.71522339e+02, 2.47207826e-13, 3.20758389e-08, 2.01719690e-08, 1.46872310e+07, 0.00000000e+00, 0.00000000e+00, 3.00497696e-16, -3.00497696e-16, 1.55999966e-04, -1.55999966e-04, 2.13742108e-08, 1.20224275e-09, 1.95112320e+02
