
[Name]
Line 1

[Data]
X [ m ], Y [ m ], Z [ m ], C8h10.Mass Fraction, Density [ kg m^-3 ], Scalar 0, Scalar 1, Scalar 2, Temperature [ K ], User Defined Memory 0, User Defined Memory 1, User Defined Memory 10, User Defined Memory 11, User Defined Memory 12, User Defined Memory 13, User Defined Memory 14, User Defined Memory 2, User Defined Memory 3, User Defined Memory 4, User Defined Memory 5, User Defined Memory 6, User Defined Memory 7, User Defined Memory 8, User Defined Memory 9, Velocity [ m s^-1 ]
6.30678656e-03, 0.00000000e+00, 0.00000000e+00, 9.15045813e-02, 9.90379512e-01, 1.04061948e-13, 7.51882054e-21, 1.31341457e-13, 3.65733398e+02, 0.00000000e+00, 0.00000000e+00, 1.90303896e-26, 3.39709657e-18, 2.02655658e-01, 2.02655658e-01, 0.00000000e+00, 1.34434132e-26, 4.65541390e-11, 3.86006331e+00, 2.25787156e-15, 1.02485519e-17, 2.64276311e-33, 1.03017337e-08, 1.07542725e-24, 6.98020248e+01
6.39284216e-03, 0.00000000e+00, 0.00000000e+00, 8.93830955e-02, 9.77043569e-01, 1.19013767e-13, 8.75472774e-21, 1.54066132e-13, 3.71010742e+02, 0.00000000e+00, 0.00000000e+00, 2.56651150e-26, 3.95843849e-18, 2.09152117e-01, 2.09152117e-01, 0.00000000e+00, 1.75729891e-26, 5.85641743e-11, 3.85236835e+00, 2.53450914e-15, 1.15614108e-17, 5.92915567e-33, 1.16214043e-08, 1.40576552e-24, 7.44872818e+01
6.47919765e-03, 0.00000000e+00, 0.00000000e+00, 8.69889408e-02, 9.63074028e-01, 1.41439594e-13, 1.02087101e-20, 1.88038522e-13, 3.76530060e+02, 0.00000000e+00, 0.00000000e+00, 3.72876184e-26, 4.61747355e-18, 2.15821162e-01, 2.15821162e-01, 0.00000000e+00, 2.48603659e-26, 7.56480434e-11, 3.79689312e+00, 2.94448621e-15, 1.35406952e-17, 1.35281562e-32, 1.36109586e-08, 1.98872465e-24, 7.99971313e+01
6.56585349e-03, 0.00000000e+00, 0.00000000e+00, 8.45936537e-02, 9.49214280e-01, 1.79999096e-13, 1.22972458e-20, 2.47058260e-13, 3.82008240e+02, 0.00000000e+00, 0.00000000e+00, 6.26694954e-26, 5.56175192e-18, 2.22536683e-01, 2.22536683e-01, 0.00000000e+00, 4.07481817e-26, 1.03417198e-10, 3.69345498e+00, 3.67690946e-15, 1.69791526e-17, 3.16387008e-32, 1.70672578e-08, 3.25970678e-24, 8.59571457e+01
6.65281108e-03, 0.00000000e+00, 0.00000000e+00, 8.23017359e-02, 9.35790956e-01, 2.52112675e-13, 1.58003582e-20, 3.59814446e-13, 3.87342499e+02, 0.00000000e+00, 0.00000000e+00, 1.29531503e-25, 7.14331836e-18, 2.29293436e-01, 2.29293436e-01, 0.00000000e+00, 8.20848044e-26, 1.54073032e-10, 3.54891896e+00, 5.09273435e-15, 2.34378715e-17, 7.72852330e-32, 2.35594921e-08, 6.56654957e-24, 9.21188965e+01
6.74007088e-03, 0.00000000e+00, 0.00000000e+00, 8.02005380e-02, 9.23059762e-01, 3.91071588e-13, 2.21914431e-20, 5.83469687e-13, 3.92460449e+02, 0.00000000e+00, 0.00000000e+00, 3.32189771e-25, 1.00267782e-17, 2.36125723e-01, 2.36125723e-01, 0.00000000e+00, 2.04747110e-25, 2.52067811e-10, 3.38747096e+00, 7.87465271e-15, 3.58526746e-17, 1.99525096e-31, 3.60387205e-08, 1.63793477e-23, 9.82200241e+01
6.82763522e-03, 0.00000000e+00, 0.00000000e+00, 7.83376619e-02, 9.11124170e-01, 6.57897185e-13, 3.42119963e-20, 1.02748745e-12, 3.97330658e+02, 0.00000000e+00, 0.00000000e+00, 1.00363410e-24, 1.54472373e-17, 2.43086368e-01, 2.43086368e-01, 0.00000000e+00, 6.00028904e-25, 4.43955733e-10, 3.24032807e+00, 1.32755254e-14, 5.95283307e-17, 5.39189855e-31, 5.98372338e-08, 4.80014193e-23, 1.04146332e+02
6.91550365e-03, 0.00000000e+00, 0.00000000e+00, 7.67070502e-02, 8.99934828e-01, 1.16019065e-12, 5.68283162e-20, 1.89349751e-12, 4.01975372e+02, 0.00000000e+00, 0.00000000e+00, 3.31513786e-24, 2.56396972e-17, 2.50245959e-01, 2.50245959e-01, 0.00000000e+00, 1.91744930e-24, 8.14891599e-10, 3.12652302e+00, 2.35093605e-14, 1.03686223e-16, 1.49836560e-30, 1.04224263e-07, 1.53394533e-22, 1.09825546e+02
7.00367847e-03, 0.00000000e+00, 0.00000000e+00, 7.52774179e-02, 8.89377654e-01, 2.08081360e-12, 9.87579399e-20, 3.53878472e-12, 4.06450592e+02, 0.00000000e+00, 0.00000000e+00, 1.12568408e-23, 4.45251438e-17, 2.57696897e-01, 2.57696897e-01, 0.00000000e+00, 6.28768566e-24, 1.51481627e-09, 3.04755473e+00, 4.23635024e-14, 1.83793272e-16, 4.18300361e-30, 1.84746980e-07, 5.03018204e-22, 1.15239838e+02
7.09215971e-03, 0.00000000e+00, 0.00000000e+00, 7.40262941e-02, 8.79376471e-01, 3.71803586e-12, 1.74765544e-19, 6.56935921e-12, 4.10796234e+02, 0.00000000e+00, 0.00000000e+00, 3.77322395e-23, 7.87409041e-17, 2.65526503e-01, 2.65526503e-01, 0.00000000e+00, 2.03396898e-23, 2.79706658e-09, 2.99602914e+00, 7.60452018e-14, 3.24742797e-16, 1.15271241e-29, 3.26427937e-07, 1.62721977e-21, 1.20442032e+02
7.18094921e-03, 0.00000000e+00, 0.00000000e+00, 7.29093924e-02, 8.69798064e-01, 6.54031039e-12, 3.08974241e-19, 1.19704715e-11, 4.15061890e+02, 0.00000000e+00, 0.00000000e+00, 1.21994398e-22, 1.39123481e-16, 2.73807973e-01, 2.73807973e-01, 0.00000000e+00, 6.34877907e-23, 5.07523223e-09, 2.96370506e+00, 1.34266703e-13, 5.65080878e-16, 3.10309203e-29, 5.68013093e-07, 5.07925530e-21, 1.25437340e+02
7.27004791e-03, 0.00000000e+00, 0.00000000e+00, 7.19064996e-02, 8.60570014e-01, 1.12612549e-11, 5.39521885e-19, 2.12855289e-11, 4.19274506e+02, 0.00000000e+00, 0.00000000e+00, 3.76179821e-22, 2.42798447e-16, 2.82611042e-01, 2.82611042e-01, 0.00000000e+00, 1.89244361e-22, 9.00263508e-09, 2.94429517e+00, 2.31767405e-13, 9.62745059e-16, 8.10963599e-29, 9.67741016e-07, 1.51404910e-20, 1.30192245e+02
7.35945627e-03, 0.00000000e+00, 0.00000000e+00, 7.10304379e-02, 8.51636171e-01, 1.89344113e-11, 9.24722991e-19, 3.68407700e-11, 4.23445343e+02, 0.00000000e+00, 0.00000000e+00, 1.10055916e-21, 4.15926370e-16, 2.91978598e-01, 2.91978598e-01, 0.00000000e+00, 5.36290262e-22, 1.55756137e-08, 2.93370080e+00, 3.90171700e-13, 1.60207716e-15, 2.05076006e-28, 1.61039054e-06, 4.29065402e-20, 1.34709061e+02
7.44917616e-03, 0.00000000e+00, 0.00000000e+00, 7.02643245e-02, 8.42882991e-01, 3.10740426e-11, 1.55090616e-18, 6.20192925e-11, 4.27615448e+02, 0.00000000e+00, 0.00000000e+00, 3.04985955e-21, 6.97207007e-16, 3.01956594e-01, 3.01956594e-01, 0.00000000e+00, 1.44329991e-21, 2.62864095e-08, 2.92935681e+00, 6.39789382e-13, 2.60238358e-15, 5.03420706e-28, 2.61588730e-06, 1.15474646e-19, 1.39048019e+02
7.53920851e-03, 0.00000000e+00, 0.00000000e+00, 6.95857629e-02, 8.34244728e-01, 4.98093441e-11, 2.54227116e-18, 1.01582090e-10, 4.31832062e+02, 0.00000000e+00, 0.00000000e+00, 8.01014079e-21, 1.14232759e-15, 3.12612951e-01, 3.12612951e-01, 0.00000000e+00, 3.69288120e-21, 4.33157794e-08, 2.92965031e+00, 1.02195509e-12, 4.12892902e-15, 1.20285621e-27, 4.15035493e-06, 2.95461160e-19, 1.43225647e+02
7.62955379e-03, 0.00000000e+00, 0.00000000e+00, 6.90000951e-02, 8.25708508e-01, 7.80948362e-11, 4.07331692e-18, 1.62054287e-10, 4.36108521e+02, 0.00000000e+00, 0.00000000e+00, 1.99800356e-20, 1.82950286e-15, 3.23983997e-01, 3.23983997e-01, 0.00000000e+00, 9.00658242e-21, 6.97868785e-08, 2.93355131e+00, 1.59198663e-12, 6.40773860e-15, 2.80122832e-27, 6.44098873e-06, 7.20607645e-19, 1.47193222e+02
7.72021385e-03, 0.00000000e+00, 0.00000000e+00, 6.85094073e-02, 8.17222714e-01, 1.20025032e-10, 6.38465601e-18, 2.52233207e-10, 4.40460724e+02, 0.00000000e+00, 0.00000000e+00, 4.74860414e-20, 2.86648909e-15, 3.36078793e-01, 3.36078793e-01, 0.00000000e+00, 2.10185091e-20, 1.10162247e-07, 2.94021082e+00, 2.42257690e-12, 9.74730533e-15, 6.37519944e-27, 9.79788547e-06, 1.68168590e-18, 1.50932388e+02
